W_PCT,FTM,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PTS
0.606,1.286666667,0.933333333,2.72,1.86,1.106666667,0.666666667,0.42,0.4,1.566666667,8.106666667
0.591,1.235294118,0.758823529,2.576470588,1.776470588,1.170588235,0.605882353,0.505882353,0.388235294,1.823529412,7.329411765
0.106,1.46,0.846666667,2.413333333,1.56,1.126666667,0.52,0.446666667,0.5,1.633333333,7.28
0.758,1.414285714,1.114285714,2.707142857,2.35,1.307142857,0.621428571,0.478571429,0.492857143,1.571428571,8.957142857
0.318,1.2625,1.13125,2.725,1.65625,1.28125,0.66875,0.325,0.5,1.9125,7.65625
0.545,1.24,0.8,2.626666667,1.753333333,1.18,0.72,0.426666667,0.326666667,1.52,7.68
0.576,1.7,1.133333333,3.12,2.04,1.366666667,0.74,0.613333333,0.56,1.873333333,9.38
0.379,1.442857143,0.964285714,2.471428571,1.628571429,1.264285714,0.621428571,0.364285714,0.435714286,1.742857143,7.885714286
0.348,1.017647059,0.888235294,2.458823529,1.535294118,1.017647059,0.611764706,0.382352941,0.382352941,1.935294118,7.088235294
0.515,1.426666667,1.013333333,2.766666667,1.886666667,1.213333333,0.64,0.446666667,0.46,1.826666667,8.293333333
0.636,1.646666667,1.066666667,2.613333333,1.526666667,1.08,0.713333333,0.386666667,0.486666667,1.866666667,7.92
0.606,1.493333333,0.98,2.473333333,1.853333333,1.126666667,0.746666667,0.386666667,0.406666667,1.886666667,8.846666667
0.621,1.553333333,1.06,2.886666667,1.873333333,1.253333333,0.506666667,0.48,0.386666667,1.5,8.146666667
0.621,1.3875,1.03125,2.3625,1.6125,1.1875,0.78125,0.38125,0.425,1.75,7.66875
0.697,1.533333333,0.926666667,2.64,1.62,1.26,0.733333333,0.473333333,0.38,1.753333333,8.06
0.47,1.43125,1.1,2.78125,2.05625,1.225,0.725,0.55,0.4,1.7875,8.66875
0.394,1.813333333,1.133333333,2.893333333,2.013333333,1.446666667,0.646666667,0.433333333,0.54,1.766666667,8.993333333
0.333,1.372727273,0.954545455,2.377272727,1.490909091,1.131818182,0.640909091,0.340909091,0.422727273,1.745454545,7.709090909
0.318,1.557142857,0.966666667,2.566666667,1.614285714,1.328571429,0.661904762,0.438095238,0.476190476,1.90952381,7.652380952
0.545,1.523529412,0.958823529,2.658823529,1.847058824,1.364705882,0.841176471,0.376470588,0.452941176,1.970588235,8.247058824
0.712,1.48125,0.775,2.40625,1.53125,1.225,0.6125,0.55,0.33125,1.63125,7.51875
0.561,0.93125,2.5125,1.6125,1.20625,0.59375,0.35,0.3375,1.525,7.44375,#DIV/0!
0.53,1.0375,0.93125,2.66875,1.70625,0.925,0.58125,0.43125,0.425,1.5375,7.21875
0.5,1.438461538,0.953846154,2.692307692,2.007692308,1.215384615,0.6,0.469230769,0.392307692,1.684615385,8.638461538
0.424,1.392857143,0.921428571,2.328571429,1.635714286,1.142857143,0.6,0.371428571,0.385714286,1.614285714,7.878571429
0.333,1.392857143,1.042857143,2.5,1.628571429,1.142857143,0.742857143,0.442857143,0.514285714,1.671428571,8.335714286
0.758,1.310526316,0.9,2.431578947,1.926315789,1.147368421,0.605263158,0.326315789,0.410526316,1.363157895,7.621052632
0.348,1.4,0.858823529,2.729411765,1.9,1.252941176,0.523529412,0.388235294,0.405882353,1.958823529,7.529411765
0.545,1.446666667,1.026666667,2.453333333,1.793333333,1.166666667,0.666666667,0.446666667,0.446666667,1.866666667,7.966666667
0.303,1.127777778,0.944444444,2.622222222,1.355555556,1.083333333,0.727777778,0.433333333,0.35,1.733333333,7.088888889
