W_PCT,FTM,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PTS
0.537,1.528571429,0.864285714,2.578571429,1.828571429,1.164285714,0.542857143,0.385714286,0.435714286,1.685714286,7.892857143
0.683,1.51875,0.73125,2.8,2,1.2,0.7125,0.41875,0.39375,1.8875,8.4375
0.415,1.26875,0.83125,2.34375,1.5125,1.04375,0.50625,0.475,0.4125,1.76875,6.66875
0.756,1.492857143,1.05,2.9,1.828571429,1.128571429,0.6,0.5,0.492857143,1.778571429,8.3
0.232,1.60625,1.06875,2.8125,1.7875,1.25,0.625,0.41875,0.5625,2.03125,8.50625
0.695,1.593333333,0.826666667,2.753333333,2,1.226666667,0.673333333,0.366666667,0.366666667,1.786666667,9.093333333
0.61,1.892857143,1.007142857,3.085714286,2.057142857,1.235714286,0.707142857,0.514285714,0.471428571,2.128571429,9.75
0.366,1.561538462,1.069230769,2.538461538,1.953846154,1.161538462,0.684615385,0.376923077,0.461538462,1.892307692,8.976923077
0.439,1.378571429,1.092857143,2.585714286,1.95,1.214285714,0.814285714,0.45,0.407142857,2.021428571,8.692857143
0.524,1.706666667,1.026666667,2.653333333,1.8,1.14,0.513333333,0.426666667,0.493333333,1.78,8.413333333
0.451,1.626666667,0.946666667,2.813333333,1.766666667,1.3,0.633333333,0.46,0.48,1.993333333,8.4
0.39,1.707142857,1.028571429,2.85,2.05,1.428571429,0.628571429,0.464285714,0.471428571,2,9.271428571
0.695,1.466666667,1.033333333,2.553333333,1.686666667,1.02,0.553333333,0.466666667,0.386666667,1.633333333,7.753333333
0.561,1.45625,0.9625,2.475,1.78125,1.1375,0.7875,0.45625,0.4875,1.7375,8.38125
0.707,1.60625,0.9,2.96875,1.54375,1.1125,0.54375,0.4,0.25625,1.875,8.025
0.427,1.573333333,0.953333333,2.753333333,1.693333333,1.12,0.693333333,0.446666667,0.446666667,1.853333333,8.433333333
0.207,1.564285714,1.1,2.7,1.842857143,1.528571429,0.6,0.428571429,0.464285714,1.964285714,8.95
0.293,1.3,0.829411765,2.205882353,1.8,1.011764706,0.523529412,0.352941176,0.382352941,1.741176471,7.347058824
0.561,1.446666667,0.96,2.48,1.54,1.02,0.593333333,0.393333333,0.4,1.846666667,7.453333333
0.512,1.706666667,0.88,2.46,1.626666667,1.166666667,0.633333333,0.433333333,0.42,1.86,8.273333333
0.671,1.686666667,0.926666667,2.673333333,1.533333333,1.126666667,0.593333333,0.493333333,0.366666667,1.993333333,7.773333333
0.634,1.725,1.05,3.083333333,2,1.433333333,0.666666667,0.45,0.383333333,2.008333333,9.766666667
0.5,1.326666667,0.806666667,2.56,1.74,0.946666667,0.573333333,0.333333333,0.36,1.646666667,7.666666667
0.488,1.485714286,0.821428571,2.414285714,1.985714286,1.128571429,0.55,0.364285714,0.371428571,1.814285714,8.585714286
0.585,1.53125,1.0875,2.41875,1.65,1.1,0.625,0.3875,0.38125,1.78125,7.7375
0.293,1.333333333,0.926666667,2.4,1.686666667,1.26,0.613333333,0.36,0.466666667,1.846666667,7.946666667
0.744,1.2875,0.74375,2.34375,1.65625,0.93125,0.5375,0.33125,0.325,1.49375,7.56875
0.268,1.488235294,1.094117647,2.635294118,1.758823529,1.211764706,0.623529412,0.388235294,0.470588235,2.017647059,7.894117647
0.476,1.54375,0.9375,2.33125,1.75,1.125,0.60625,0.50625,0.4,1.9125,7.66875
0.28,1.4,0.994117647,2.323529412,1.441176471,1.147058824,0.670588235,0.452941176,0.4,1.847058824,7.647058824
0.606,1.286666667,0.933333333,2.72,1.86,1.106666667,0.666666667,0.42,0.4,1.566666667,8.106666667
0.591,1.235294118,0.758823529,2.576470588,1.776470588,1.170588235,0.605882353,0.505882353,0.388235294,1.823529412,7.329411765
0.106,1.46,0.846666667,2.413333333,1.56,1.126666667,0.52,0.446666667,0.5,1.633333333,7.28
0.758,1.414285714,1.114285714,2.707142857,2.35,1.307142857,0.621428571,0.478571429,0.492857143,1.571428571,8.957142857
0.318,1.2625,1.13125,2.725,1.65625,1.28125,0.66875,0.325,0.5,1.9125,7.65625
0.545,1.24,0.8,2.626666667,1.753333333,1.18,0.72,0.426666667,0.326666667,1.52,7.68
0.576,1.7,1.133333333,3.12,2.04,1.366666667,0.74,0.613333333,0.56,1.873333333,9.38
0.379,1.442857143,0.964285714,2.471428571,1.628571429,1.264285714,0.621428571,0.364285714,0.435714286,1.742857143,7.885714286
0.348,1.017647059,0.888235294,2.458823529,1.535294118,1.017647059,0.611764706,0.382352941,0.382352941,1.935294118,7.088235294
0.515,1.426666667,1.013333333,2.766666667,1.886666667,1.213333333,0.64,0.446666667,0.46,1.826666667,8.293333333
0.636,1.646666667,1.066666667,2.613333333,1.526666667,1.08,0.713333333,0.386666667,0.486666667,1.866666667,7.92
0.606,1.493333333,0.98,2.473333333,1.853333333,1.126666667,0.746666667,0.386666667,0.406666667,1.886666667,8.846666667
0.621,1.553333333,1.06,2.886666667,1.873333333,1.253333333,0.506666667,0.48,0.386666667,1.5,8.146666667
0.621,1.3875,1.03125,2.3625,1.6125,1.1875,0.78125,0.38125,0.425,1.75,7.66875
0.697,1.533333333,0.926666667,2.64,1.62,1.26,0.733333333,0.473333333,0.38,1.753333333,8.06
0.47,1.43125,1.1,2.78125,2.05625,1.225,0.725,0.55,0.4,1.7875,8.66875
0.394,1.813333333,1.133333333,2.893333333,2.013333333,1.446666667,0.646666667,0.433333333,0.54,1.766666667,8.993333333
0.333,1.372727273,0.954545455,2.377272727,1.490909091,1.131818182,0.640909091,0.340909091,0.422727273,1.745454545,7.709090909
0.318,1.557142857,0.966666667,2.566666667,1.614285714,1.328571429,0.661904762,0.438095238,0.476190476,1.90952381,7.652380952
0.545,1.523529412,0.958823529,2.658823529,1.847058824,1.364705882,0.841176471,0.376470588,0.452941176,1.970588235,8.247058824
0.712,1.48125,0.775,2.40625,1.53125,1.225,0.6125,0.55,0.33125,1.63125,7.51875
0.561,0.93125,2.5125,1.6125,1.20625,0.59375,0.35,0.3375,1.525,7.44375,7.4437
0.53,1.0375,0.93125,2.66875,1.70625,0.925,0.58125,0.43125,0.425,1.5375,7.21875
0.5,1.438461538,0.953846154,2.692307692,2.007692308,1.215384615,0.6,0.469230769,0.392307692,1.684615385,8.638461538
0.424,1.392857143,0.921428571,2.328571429,1.635714286,1.142857143,0.6,0.371428571,0.385714286,1.614285714,7.878571429
0.333,1.392857143,1.042857143,2.5,1.628571429,1.142857143,0.742857143,0.442857143,0.514285714,1.671428571,8.335714286
0.758,1.310526316,0.9,2.431578947,1.926315789,1.147368421,0.605263158,0.326315789,0.410526316,1.363157895,7.621052632
0.348,1.4,0.858823529,2.729411765,1.9,1.252941176,0.523529412,0.388235294,0.405882353,1.958823529,7.529411765
0.545,1.446666667,1.026666667,2.453333333,1.793333333,1.166666667,0.666666667,0.446666667,0.446666667,1.866666667,7.966666667
0.303,1.127777778,0.944444444,2.622222222,1.355555556,1.083333333,0.727777778,0.433333333,0.35,1.733333333,7.088888889
0.537,1.23125,0.8,2.6625,1.98125,1.2125,0.65625,0.3625,0.375,1.575,8.08125
0.506,1.205882353,0.882352941,2.105882353,1.370588235,0.982352941,0.505882353,0.341176471,0.329411765,1.3,6.670588235
0.598,1.247058824,0.723529412,2.635294118,2.070588235,1.311764706,0.694117647,0.376470588,0.4,1.847058824,7.947058824
0.256,1.405555556,0.861111111,2.316666667,1.588888889,1.005555556,0.572222222,0.444444444,0.505555556,1.616666667,7.094444444
0.549,1.378571429,1.092857143,2.671428571,2.021428571,1.221428571,0.635714286,0.464285714,0.5,1.814285714,7.964285714
0.293,1.48125,1.21875,2.70625,1.9,1.2,0.74375,0.38125,0.54375,1.93125,8.45625
0.5,1.014285714,0.638095238,2.128571429,1.442857143,0.9,0.5,0.347619048,0.304761905,1.542857143,6.595238095
0.695,1.486666667,1.08,2.54,1.893333333,1.2,0.746666667,0.493333333,0.566666667,1.746666667,8.606666667
0.354,1.435714286,1.042857143,2.535714286,2.057142857,1.3,0.65,0.435714286,0.507142857,1.914285714,8.385714286
0.573,1.371428571,0.9,2.857142857,1.9,1.321428571,0.557142857,0.4,0.407142857,1.892857143,8.278571429
0.549,1.542857143,0.957142857,2.664285714,2.035714286,1.435714286,0.764285714,0.442857143,0.514285714,1.742857143,8.607142857
0.605,1.31875,1.0125,2.58125,1.50625,1.125,0.55625,0.46875,0.45625,1.6125,7.13125
0.683,1.346666667,0.82,2.346666667,1.973333333,1.113333333,0.733333333,0.406666667,0.326666667,1.666666667,8.026666667
0.549,1.525,1.1,2.85,2.00625,1.25625,0.5625,0.43125,0.4,1.5625,8.3375
0.683,1.2125,0.9875,2.23125,1.55625,1.00625,0.6125,0.35625,0.425,1.625,7.00625
0.805,1.2875,0.65,2.375,1.69375,1.0375,0.64375,0.45625,0.2625,1.53125,7.7125
0.463,1.26,1.16,2.74,1.88,1.18,0.686666667,0.586666667,0.4,1.68,8.206666667
0.378,1.772222222,1.105555556,2.877777778,1.988888889,1.205555556,0.761111111,0.4,0.588888889,1.627777778,8.461111111
0.329,1.282352941,0.952941176,2.241176471,1.605882353,1.117647059,0.488235294,0.405882353,0.5,1.652941176,7.229411765
0.659,1.377777778,1.327777778,2.905555556,1.372222222,1.133333333,0.622222222,0.405555556,0.338888889,1.972222222,8.105555556
0.732,1.666666667,0.846666667,2.6,1.573333333,1.12,0.68,0.573333333,0.326666667,1.653333333,8.053333333
0.244,1.142857143,0.964285714,2.985714286,2.107142857,1.314285714,0.628571429,0.371428571,0.514285714,1.857142857,8.678571429
0.415,1.046666667,0.9,2.613333333,1.953333333,1.106666667,0.673333333,0.426666667,0.446666667,1.633333333,8.1
0.305,1.166666667,1.02,2.6,1.793333333,1.253333333,0.64,0.486666667,0.426666667,1.733333333,7.853333333
0.402,1.233333333,0.853333333,2.42,1.826666667,1.18,0.566666667,0.333333333,0.366666667,1.633333333,7.7
0.341,1.464285714,0.978571429,2.485714286,1.685714286,1.178571429,0.65,0.335714286,0.507142857,1.742857143,8.564285714
0.707,1.386666667,0.713333333,2.786666667,2.14,1.213333333,0.72,0.466666667,0.42,1.513333333,8.653333333
0.415,1.62,0.906666667,2.613333333,1.68,1.22,0.666666667,0.433333333,0.473333333,2.1,8.78
0.524,1.457142857,1.014285714,2.471428571,2.107142857,1.257142857,0.728571429,0.514285714,0.492857143,1.85,8.242857143
0.354,1.457142857,1.014285714,2.928571429,1.942857143,1.307142857,0.714285714,0.428571429,0.407142857,2.014285714,8.364285714
