W_PCT,AGE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FP,DD2,TD3
0.756,26,6.5,14.1,0.46,1.4,4.1,0.345,3.1,4.1,0.753,1.4,4.4,5.8,2.8,1.9,1,0.6,0.7,2,3.4,17.4,6.4,31.3,8,0
0.222,28,1.9,4.6,0.415,0.7,1.8,0.391,1.1,1.4,0.78,0.4,1.2,1.7,1.9,0.9,0.3,0.3,0.3,1.2,1,5.6,-3,11.2,0,0
0.5,33,0.6,1.7,0.355,0,0,0,0.1,0.1,0.5,0.7,1.1,1.8,0.2,0.2,0.1,0.2,0.1,1.7,0.3,1.3,-3.1,4.4,0,0
0.13,21,2,5.4,0.374,0.6,1.7,0.37,1.3,1.7,0.763,0.7,1.9,2.6,1.6,1.2,0.6,0.1,0.5,1.2,1.3,5.9,-4.4,12.4,1,0
0.763,33,5.5,12.7,0.433,1.9,5.5,0.349,4.5,5.1,0.871,0.5,3.2,3.7,4.9,2.2,1.5,0.4,0.6,2,4.8,17.4,6.8,32.7,0,0
0.568,26,4.5,8.5,0.527,0,0.1,0.429,2.7,3.6,0.748,1.9,5.1,7,2.5,1.8,0.9,1.7,0.7,3.3,4.2,11.7,1.7,29.8,14,0
0.538,27,4.2,7.5,0.561,0,0.1,0.25,1.8,2.4,0.725,1.9,6,7.9,0.9,1,0.5,1.1,0.7,2.4,2.3,10.2,0.3,24.7,24,0
0.55,25,3.8,8.6,0.437,1.7,4.1,0.414,1.2,1.6,0.784,0.2,1.7,1.9,1.2,1,0.5,0.1,0.3,1.8,1.6,10.5,1.1,15.1,0,0
0.333,29,0,0.7,0,0,0,0,2,2.7,0.75,0,0.3,0.3,1,0.7,0.3,0,0,1.3,1.7,2,3,4.2,0,0
0.542,37,2,5,0.398,0,0,0,0.7,1.2,0.614,3.1,7.2,10.3,2.1,1.1,0.7,1.6,0.1,2.4,1.5,4.7,0.5,25.8,8,0
0.5,24,0.5,0.8,0.667,0,0,0,0,0,0,0,0.8,0.8,0,0.3,0,0.3,0,0.3,0,1,-4.3,2.4,0,0
0.507,24,4.8,11.1,0.434,1.2,3.3,0.367,2,2.5,0.788,0.8,2.7,3.5,1.8,1.3,0.9,0.1,0.7,1.5,1.9,12.8,-1.6,21.5,2,0
0.743,25,2.2,5.5,0.399,1.2,3.3,0.359,0.8,0.9,0.871,0.2,1.9,2.1,2.5,1.3,1.1,0.1,0.2,2.3,1.1,6.4,3.7,14.9,0,0
0.167,27,1.5,3.5,0.429,0.2,0.7,0.25,0.5,0.8,0.6,0.3,1.5,1.8,1.7,0.3,1.2,0,0.3,2.2,1.3,3.7,-1.2,11.5,0,0
0.755,30,2.3,4.7,0.491,0.1,0.4,0.19,0.8,1.2,0.684,0.5,1.8,2.3,1.3,0.8,0.8,0.4,0.4,1.3,1.2,5.5,0,13.2,0,0
0.516,23,2.3,4.5,0.495,0,0.1,0.25,0.9,1.1,0.753,1,2.3,3.3,0.5,0.6,0.1,0.3,0.3,1.9,1.1,5.4,0.8,10.7,0,0
0.152,24,3.3,7.4,0.447,1.2,2.9,0.417,2,2.7,0.77,0.8,2.4,3.2,1.2,1.3,0.6,0.2,0.4,2.2,2.3,9.8,-5.5,16.6,0,0
0.523,25,3.8,8.3,0.458,0.6,1.7,0.336,2.3,2.7,0.845,1,3.8,4.8,1.4,1,0.5,0.4,0.5,1.6,2,10.4,-0.6,19.9,3,0
0.679,31,2.5,5.3,0.47,0.6,2,0.318,1.1,1.5,0.779,1.4,2.9,4.3,1.3,1.1,0.7,0.4,0.3,2.4,1.3,6.7,0.4,16.2,2,0
0.727,31,2.6,5.6,0.464,1.6,3.5,0.457,0.5,0.7,0.744,0.9,2.7,3.6,0.9,0.4,0.4,0.3,0.1,1.7,0.6,7.3,3.9,14.7,1,0
0.444,30,1.6,3.7,0.447,0.3,0.9,0.37,0.7,1,0.769,0.2,1,1.3,0.4,0.4,0.3,0.1,0.3,0.8,0.8,4.4,-1.2,7.4,0,0
0.25,27,1.5,2.8,0.545,0.8,1,0.75,0,0,0,0,0.5,0.5,0.3,1,0.3,0,0,1,0.5,3.8,-1.5,4.5,0,0
