W_PCT,AGE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3
0.456,23,5,11,0.457,0.5,1.6,0.331,2.6,2.9,0.871,0.5,2.3,2.8,5.1,2.5,1.1,0.2,0.7,1.4,2.2,13.2,-1.7,25.6,4,0
0.425,31,1.4,3,0.463,0.2,0.6,0.348,0.4,0.6,0.636,0.5,1.6,2.1,0.3,0.6,0.1,0.2,0.3,1,0.6,3.4,0.5,6.9,0,0
0.479,28,6.8,13.4,0.507,0,0,0.333,2.9,3.7,0.787,3,6.8,9.8,3.2,2.3,1,0.4,0.9,2.9,2.9,16.5,-1.6,35,37,0
0.571,30,7.5,14.9,0.508,0,0.1,0.222,3.8,4.7,0.807,2.2,5.3,7.6,2.3,2,1,0.9,1,2.9,3.7,18.9,2.1,35,16,0
0.388,22,2.9,4.3,0.686,0,0,0,1.2,2.7,0.452,2.6,4.6,7.2,0.5,1.3,0.5,1.8,0.4,3.2,2.3,7.1,-1.3,22.1,8,0
0.741,22,3.6,7.2,0.501,0,0,0,1.1,1.7,0.657,2.7,4.3,7,1,1.4,1.2,0.5,0.8,2.6,1.5,8.3,1.7,21.8,17,0
0.542,27,2.3,5,0.458,0.5,1.4,0.364,0.5,0.6,0.867,0.3,1.3,1.5,2.7,1.3,0.8,0.4,0.4,1.2,0.7,5.6,-3.6,14,0,0
0.268,21,6.6,14.1,0.467,0.1,0.6,0.096,4,4.9,0.813,0.9,2.9,3.8,1.8,1.8,1,0.4,1.1,2.6,3.7,17.2,-5,27,1,0
0.284,20,5.3,12.4,0.43,0,0.2,0.167,3.4,5,0.687,2.7,6,8.6,2.5,3.3,1,0.8,1.4,4.1,4.6,14.1,-3.3,30.6,26,0
0.583,24,0.3,1,0.333,0,0,0,0.2,0.2,1,0.2,0.5,0.7,0.3,0,0.1,0.1,0.2,0.4,0.5,0.8,0.6,2.6,0,0
0.695,36,2.5,6.5,0.389,0.8,1.9,0.396,1,1.3,0.806,0.2,1.7,1.9,2.7,0.9,1.2,0.1,0.3,2.3,1.7,6.8,5.5,16.2,0,0
0.508,27,6.6,15,0.439,1.6,4.9,0.331,5.4,6.3,0.845,0.6,3.4,4,10.3,3.5,1.2,0.2,0.9,2.9,5.2,20.1,-1.8,41.1,34,0
0.449,23,1.5,2.7,0.565,0.1,0.2,0.5,0.7,1.2,0.533,0.8,1.2,2,0.7,0.7,0.4,0.2,0.2,1.2,1,3.8,-0.9,8.3,0,0
0.707,23,0.8,1.6,0.485,0,0,0,0.4,0.6,0.739,0.5,0.6,1,0.2,0.5,0.1,0.2,0.2,1.1,0.5,2,-1.4,4.1,0,0
0.321,19,2.8,5.3,0.517,0,0,0,1.3,2.2,0.595,2.2,3.1,5.3,0.5,1,0.4,0.9,0.4,3.2,1.6,6.8,-3,16.7,4,0
0.765,22,8.8,19.7,0.445,1.6,4.8,0.332,5.9,6.9,0.858,1,3.1,4.1,7.7,3.4,1,0.6,1.6,1.7,4.8,25,6.2,43,23,1
0.375,29,0.5,1.5,0.333,0,0,0,0.3,0.7,0.364,0.8,1.8,2.5,0.4,0.7,0.3,0.9,0.1,1.6,0.4,1.3,-2.5,7.8,0,0
0.681,30,1.8,4.6,0.388,1.3,3.5,0.378,0.5,0.6,0.767,0.3,1.2,1.5,1.1,0.6,0.3,0.1,0.2,1,0.8,5.3,0.4,9.2,0,0
0.75,21,1.1,2.6,0.412,0.1,0.3,0.4,0.9,1.2,0.783,0.8,0.6,1.4,0.1,0.3,0.2,0.3,0.3,0.4,0.7,3.1,-2.1,5.9,0,0
0.338,28,4.8,11.5,0.422,0.8,2.5,0.322,4.7,5.7,0.833,0.2,2.1,2.4,7.1,2.9,1,0.1,0.8,2.3,4.9,15.2,-2.9,29,9,0
1,23,0.5,1.5,0.333,0,0,0,0,0,0,0.5,1,1.5,0,1,0,0,0,1,0,1,4,1.8,0,0
0.753,33,8.4,16.2,0.517,0.9,2.3,0.393,5.4,6.1,0.892,0.7,6.3,7,2.6,1.9,0.5,0.6,0.4,2.4,4.8,23,7.3,37,16,0
0.488,30,0.6,1.2,0.469,0,0,0,0.3,0.4,0.722,0.9,1.2,2.1,0.1,0.5,0.1,0.7,0.1,1.3,0.4,1.4,-0.9,6.1,0,0
0.489,24,2.4,4.7,0.507,0,0,0,1,1.4,0.719,0.9,2.4,3.4,0.4,0.3,0.3,0.4,0.2,1.6,0.9,5.7,-0.7,12.1,0,0
0.346,25,1.4,3.5,0.396,0,0,0,0.6,0.8,0.769,1.2,2.6,3.8,0.8,0.5,0.2,0.6,0.4,1.8,0.6,3.3,-1.4,11.2,1,0
0.556,22,0.8,2.5,0.311,0,0.2,0,0.8,0.9,0.824,0.3,1.1,1.4,1.1,0.6,0.3,0.2,0.2,0.4,0.6,2.3,-1.2,6.4,0,0
0.304,23,2.3,5.6,0.404,0.7,2.2,0.292,0.6,0.9,0.662,0.7,1.4,2.1,0.7,0.9,0.5,0.3,0.3,1.3,0.8,5.8,-1.6,11,1,0
0.439,25,5.9,14,0.423,2.4,6.3,0.376,2.2,2.8,0.789,1.1,4.2,5.3,3,1.6,1.5,0.8,0.6,2.1,2,16.4,-1.6,32.3,7,0
0.4,29,4.5,10.3,0.431,0.1,0.6,0.15,2.3,2.9,0.794,2.1,4.7,6.8,1.3,1.3,0.6,0.5,0.7,2.8,2.8,11.3,-1.1,23.5,10,1
0.654,25,7.9,13.4,0.593,0,0.1,0,7,11.7,0.596,4,10.1,14.1,1.4,3.6,1.4,2.4,1,3.3,9.8,22.9,6.4,49.5,66,0
0.711,29,9.1,18.2,0.5,0.8,2.7,0.306,6.5,8.6,0.758,1.6,4.8,6.4,4.6,3.1,1.5,1.1,0.9,2.6,6.1,25.5,7.6,44.7,10,1
0.476,29,1.5,4.7,0.323,0,0,0,0.7,1.1,0.625,1.5,2.1,3.6,0.5,0.8,0.4,0.3,0.4,2.2,1,3.8,-1.6,10.1,0,0
0.404,35,2.7,6.2,0.443,0.5,1.2,0.38,1.2,1.4,0.841,0.3,0.7,1,2.5,0.9,0.7,0.1,0.3,0.8,1.3,7.2,0.7,13.3,0,0
0.667,23,1.6,3.8,0.43,0,0.1,0,0.6,1.1,0.574,0.9,1.5,2.4,0.2,0.7,0.2,0.4,0.4,1.1,0.8,3.9,-1.3,8.3,0,0
0.463,32,1.6,3.8,0.41,0.5,1.3,0.336,0.7,1,0.671,0.7,1.6,2.3,3.5,1.5,0.8,0.2,0.3,1.8,1,4.3,0.1,13.7,1,0
0.246,22,3.3,5.7,0.576,0,0,0,1.1,2,0.555,2.6,4.5,7.1,0.6,0.7,0.6,1,0.5,2.8,1.4,7.7,-5.2,21.3,13,0
0.696,33,2.3,5.7,0.399,1.2,3.1,0.389,0.7,0.7,0.95,0.2,1.5,1.6,1.1,0.5,0.6,0.1,0.2,1.2,0.4,6.5,1.9,11.5,0,0
